Date,Sales (Rmn),Volume,ford_figo_queries_rising,golf_6_gti_queries_rising,golf_7_gti_queries_rising,gwm_queries_rising,hyundai_i10_queries_rising,hyundai_i20_queries_rising,polo_vivo_queries_rising,toyota_corolla_for_sale_queries_rising,toyota_hilux_for_sale_queries_rising,webuycars_queries_rising,audi_queries_top,autotrader_queries_top,bmw_queries_top,car_queries_top,cars_queries_top,cars_for_sale_queries_top,ford_queries_top,honda_queries_top,hyundai_queries_top,kia_queries_top,mercedes_queries_top,mercedes_benz_queries_top,nissan_queries_top,opel_queries_top,polo_queries_top,suzuki_queries_top,toyota_queries_top,vw_queries_top,webuycars_queries_top,bmw_topics_rising,hyundai_i20_topics_rising,toyota_fortuner_topics_rising,volkswagen_tiguan_topics_rising,audi_topics_top,bmw_topics_top,car_topics_top,ford_topics_top,mercedes_topics_top,toyota_topics_top,volkswagen_topics_top,volkwagen_polo_topics_top,COVID_dummy
2004-01-31,23578.0,33601.0,0,0,0,0,0,0,0,0,0,0,42,22,63,76,71,0,29,71,26,0,54,0,77,70,0,56,45,49,0,63,0,0,0,42,63,76,29,54,45,67,0,0
2004-02-29,22343.0,32338.0,0,0,0,0,0,0,0,0,0,0,53,22,56,79,83,0,33,74,23,0,57,0,52,70,15,34,42,58,0,56,0,0,0,53,56,79,33,57,42,58,0,0
2004-03-31,22645.0,38892.0,100,0,0,0,0,0,0,0,0,0,45,18,59,76,66,0,39,53,25,0,53,100,64,69,0,37,44,52,0,59,0,0,0,45,59,76,39,53,44,35,0,0
2004-04-30,21155.0,28681.0,0,0,0,0,0,0,0,0,0,0,37,24,51,64,68,0,30,60,0,0,42,0,37,58,17,38,46,47,0,51,0,0,0,37,51,64,30,42,46,65,0,0
2004-05-31,23149.0,34347.0,0,0,0,0,0,0,0,0,0,0,37,18,55,75,79,0,31,59,17,0,54,0,38,48,10,83,48,44,0,55,0,0,0,37,55,75,31,54,48,58,0,0
2004-06-30,25137.0,38186.0,0,0,0,0,0,0,0,0,0,0,29,17,57,67,75,21,30,66,17,0,52,0,79,69,14,52,40,42,0,57,0,0,0,29,57,67,30,52,40,100,0,0
2004-07-31,26688.0,39203.0,0,0,0,0,0,0,0,0,0,0,48,20,56,76,75,0,31,76,19,0,49,0,44,63,18,55,54,49,0,56,0,0,0,48,56,76,31,49,54,66,0,0
2004-08-31,26570.0,41142.0,0,0,0,0,0,0,0,0,0,0,36,17,52,77,82,0,33,46,0,19,47,0,67,65,14,56,44,45,0,52,0,0,0,36,52,77,33,47,44,70,0,0
2004-09-30,27196.0,43146.0,0,0,0,0,0,0,0,0,0,0,44,17,47,71,79,0,29,73,17,0,46,0,60,70,15,59,54,53,0,47,0,0,0,44,47,71,29,46,54,66,0,0
2004-10-31,26784.0,42441.0,0,0,0,0,0,0,0,0,0,0,47,14,57,73,79,0,36,61,22,0,51,59,46,73,13,52,42,41,0,57,0,0,0,47,57,73,36,51,42,83,0,0
2004-11-30,27791.0,41656.0,0,0,0,0,0,0,0,0,0,0,51,17,55,69,74,0,43,73,29,30,44,0,58,68,19,48,56,44,0,55,0,0,0,51,55,69,43,44,56,39,0,0
2004-12-31,28035.0,35962.0,0,0,0,0,0,0,0,0,0,0,48,0,56,77,79,0,36,100,25,0,51,0,54,64,24,54,60,52,0,56,0,0,0,48,56,77,36,51,60,57,0,0
2005-01-31,25723.0,40626.0,0,0,0,0,0,0,0,0,0,0,56,20,60,83,88,0,33,66,24,30,63,0,48,79,18,57,60,46,0,60,0,0,0,56,60,83,33,63,60,60,0,0
2005-02-28,25800.0,42825.0,0,0,0,0,0,0,0,0,0,0,55,24,54,84,97,0,38,69,25,21,61,0,51,58,17,43,56,49,0,54,0,0,0,55,54,84,38,61,56,58,0,0
2005-03-31,26991.0,43636.0,0,0,0,0,0,0,0,0,0,0,58,26,60,95,91,18,33,75,32,25,64,0,63,67,24,49,59,51,0,60,0,0,0,58,60,95,33,64,59,61,0,0
2005-04-30,27540.0,40497.0,0,0,0,0,0,0,0,0,0,0,42,22,57,94,92,16,35,70,34,26,62,0,71,87,20,44,56,63,0,57,0,0,0,42,57,94,35,62,56,88,0,0
2005-05-31,29369.0,45864.0,0,0,0,0,0,0,0,0,0,0,48,23,60,88,93,15,41,62,33,27,63,0,59,74,19,43,58,63,0,60,0,0,0,48,60,88,41,63,58,72,0,0
2005-06-30,29041.0,42252.833333333336,0,0,0,0,0,0,0,0,0,0,45,32,51,87,85,23,41,63,30,26,63,0,64,69,27,33,63,58,0,51,0,0,0,45,51,87,41,63,63,54,0,0
2005-07-31,27649.166666666668,46812.0,0,0,0,0,0,0,0,0,0,0,57,25,55,95,96,18,52,73,19,33,68,0,74,73,39,52,64,67,0,55,0,0,0,57,55,95,52,68,64,81,0,0
2005-08-31,31583.0,43890.25,0,0,0,0,0,0,0,0,0,0,48,33,48,84,94,20,45,73,22,0,56,0,64,88,20,45,62,55,0,48,0,0,0,48,48,84,45,56,62,76,0,0
2005-09-30,31320.0,54561.0,0,0,0,0,0,0,0,0,0,0,53,31,55,92,94,21,48,74,27,21,56,0,67,57,23,62,62,57,0,55,0,0,0,53,55,92,48,56,62,73,0,0
2005-10-31,31019.0,50682.0,0,0,0,0,0,0,0,0,0,0,44,40,64,99,100,29,46,85,33,28,55,0,83,80,28,45,58,65,0,64,0,0,0,44,64,99,46,55,58,94,0,0
2005-11-30,32772.0,50505.0,0,0,0,0,0,0,0,0,0,0,61,35,54,97,84,25,47,71,32,27,71,0,78,75,27,74,73,66,0,54,0,0,0,61,54,97,47,71,73,88,0,0
2005-12-31,30546.0,45772.0,0,0,0,0,0,0,0,0,0,0,62,38,65,100,86,30,46,96,24,32,65,0,83,90,20,62,74,65,0,65,0,0,0,62,65,100,46,65,74,70,0,0
2006-01-31,29867.0,48821.0,0,0,0,0,0,0,0,0,0,0,53,44,58,96,96,23,56,91,34,39,76,28,80,92,30,48,72,68,0,58,0,0,0,53,58,96,56,76,72,97,0,0
2006-02-28,31070.0,50111.0,0,0,0,0,0,0,0,0,0,0,57,41,61,87,91,28,52,96,35,31,51,0,81,67,22,46,61,65,0,61,0,50,0,57,61,87,52,51,61,81,0,0
2006-03-31,32653.0,56233.0,0,0,0,0,0,0,0,0,0,0,74,41,55,91,88,23,52,84,34,31,65,20,65,85,19,48,69,57,0,55,0,100,0,74,55,91,52,65,69,68,0,0
2006-04-30,30001.0,45590.0,0,0,0,0,0,0,0,0,0,0,51,49,58,94,93,19,56,76,40,33,71,0,79,76,27,53,68,63,0,58,0,49,0,51,58,94,56,71,68,97,0,0
2006-05-31,33521.0,52577.0,0,0,0,0,0,0,0,0,0,0,73,47,56,89,84,18,47,79,36,27,58,22,68,90,28,51,65,62,0,56,0,35,0,73,56,89,47,58,65,73,0,0
2006-06-30,32560.0,56928.0,0,0,0,0,0,0,0,0,0,0,72,48,52,91,86,26,53,80,37,29,61,0,78,92,27,53,62,58,0,52,0,0,0,72,52,91,53,61,62,91,0,0
2006-07-31,31926.5,56479.0,0,0,0,0,0,0,0,0,0,0,63,49,53,89,98,27,53,83,34,25,65,19,68,89,29,58,70,61,0,53,0,31,0,63,53,89,53,65,70,81,0,0
2006-08-31,32319.75,59806.0,0,0,0,0,0,0,0,0,0,0,67,54,58,92,99,25,53,77,34,30,55,22,78,89,25,58,71,64,0,58,0,34,0,67,58,92,53,55,71,74,0,0
2006-09-30,36124.0,57599.0,0,0,0,0,0,0,13,0,0,0,73,57,60,91,89,26,49,82,38,31,60,0,80,87,27,54,70,73,0,60,0,0,0,73,60,91,49,60,70,81,0,0
2006-10-31,35832.0,57810.0,0,0,0,0,0,0,0,0,0,0,70,49,53,84,95,36,50,83,31,29,56,33,74,94,31,64,72,64,0,53,0,23,0,70,53,84,50,56,72,80,0,0
2006-11-30,36536.0,55354.0,0,0,0,0,0,0,0,0,0,0,73,59,52,93,97,30,49,86,41,30,63,25,77,96,28,68,82,66,0,52,0,0,0,73,52,93,49,63,82,87,0,0
2006-12-31,34278.0,49258.0,0,0,0,0,0,0,0,0,0,0,64,64,53,89,88,25,51,83,33,24,62,20,76,87,23,63,74,57,0,53,0,0,0,64,53,89,51,62,74,83,0,0
2007-01-31,35469.0,52212.0,0,0,0,27,0,0,0,0,0,0,69,70,54,92,93,42,60,87,38,36,70,20,73,99,23,60,83,68,0,54,0,23,0,69,54,92,60,70,83,80,0,0
